"type","ref","group","name","version"
"LIBRARY","pkg:deb",,"libss2","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY","pkg:deb",,"libssh-4","0.10.6-2build2"
"LIBRARY","pkg:deb",,"libssl3t64","3.0.13-0ubuntu3.4"
"LIBRARY","pkg:deb",,"libstdc++6","14.2.0-4ubuntu2~24.04"
"LIBRARY","pkg:deb",,"libsystemd0","255.4-1ubuntu8.4"
"LIBRARY","pkg:deb",,"libtasn1-6","4.19.0-3build1"
"LIBRARY","pkg:deb",,"libtinfo6","6.4+20240113-1ubuntu2"
"LIBRARY","pkg:deb",,"libudev1","255.4-1ubuntu8.4"
"LIBRARY","pkg:deb",,"libunistring5","1.1-2build1"
"LIBRARY","pkg:deb",,"libuuid1","2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"libxxhash0","0.8.2-2build1"
"LIBRARY","pkg:deb",,"libzstd1","1.5.5+dfsg2-2build1.1"
"LIBRARY","pkg:deb",,"locales","2.39-0ubuntu8.3"
"LIBRARY","pkg:deb",,"login","1:4.13+dfsg1-4ubuntu3.2"
"LIBRARY","pkg:deb",,"logsave","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY","pkg:deb",,"mawk","1.3.4.20240123-1build1"
"LIBRARY","pkg:deb",,"mount","2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"ncurses-base","6.4+20240113-1ubuntu2"
"LIBRARY","pkg:deb",,"ncurses-bin","6.4+20240113-1ubuntu2"
"LIBRARY","pkg:deb",,"openssl","3.0.13-0ubuntu3.4"
"LIBRARY","pkg:maven","org.apache.logging.log4j","log4j-api","2.24.3"
"LIBRARY","pkg:maven","org.apache.logging.log4j","log4j-to-slf4j","2.24.3"
"LIBRARY","pkg:maven","org.apache.tomcat.embed","tomcat-embed-core","10.1.34"
"LIBRARY","pkg:maven","org.apache.tomcat.embed","tomcat-embed-el","10.1.34"
"LIBRARY","pkg:maven","org.apache.tomcat.embed","tomcat-embed-websocket","10.1.34"
"LIBRARY","pkg:maven","org.slf4j","jul-to-slf4j","2.0.16"
"LIBRARY","pkg:maven","org.slf4j","slf4j-api","2.0.16"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-autoconfigure","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-starter","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-starter-json","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-starter-logging","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-starter-tomcat","3.4.1"
"LIBRARY","pkg:maven","org.springframework.boot","spring-boot-starter-web","3.4.1"
"LIBRARY","pkg:maven","org.springframework","spring-aop","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-beans","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-context","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-core","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-expression","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-jcl","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-web","6.2.1"
"LIBRARY","pkg:maven","org.springframework","spring-webmvc","6.2.1"
"LIBRARY","pkg:maven","org.yaml","snakeyaml","2.3"
"LIBRARY","pkg:deb",,"p11-kit","0.25.3-4ubuntu2.1"
"LIBRARY","pkg:deb",,"p11-kit-modules","0.25.3-4ubuntu2.1"
"LIBRARY","pkg:deb",,"passwd","1:4.13+dfsg1-4ubuntu3.2"
"LIBRARY","pkg:deb",,"perl-base","5.38.2-3.2build2"
"LIBRARY","pkg:deb",,"pinentry-curses","1.2.1-3ubuntu5"
"LIBRARY","pkg:deb",,"procps","2:4.0.4-4ubuntu3.2"
"LIBRARY","pkg:deb",,"readline-common","8.2-4build1"
"LIBRARY","pkg:deb",,"sed","4.9-2build1"
"LIBRARY","pkg:deb",,"sensible-utils","0.0.22"
"LIBRARY","pkg:deb",,"sysvinit-utils","3.08-6ubuntu3"
"LIBRARY","pkg:deb",,"tar","1.35+dfsg-3build1"
"LIBRARY","pkg:deb",,"tzdata","2024a-3ubuntu1.1"
"LIBRARY","pkg:deb",,"ubuntu-keyring","2023.11.28.1"
"LIBRARY","pkg:deb",,"util-linux","2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"wget","1.21.4-1ubuntu4.1"
"LIBRARY","pkg:deb",,"zlib1g","1:1.3.dfsg-3.1ubuntu2.1"
"OPERATING-SYSTEM",,"ubuntu","24.04"
